gene	chr	start	end
ABCA13	7	48634304	48634411
ABCA13	7	48654879	48654975
ABCA13	7	48682882	48682991
ABCA13	7	48684211	48684352
ABCA13	7	48685011	48685110
ABCA2	9	139902379	139902418
ABCA2	9	139902866	139903076
ABCA2	9	139903181	139903322
ABCA2	9	139903401	139903507
ABCA2	9	139903820	139903916
ABCA2	9	139903991	139904098
ABCA2	9	139904219	139904357
ABCA2	9	139904433	139904578
ABCA2	9	139904643	139904825
ABCA2	9	139905070	139905191
ABCA2	9	139905423	139905559
ABCA2	9	139905636	139905763
ABCA2	9	139905857	139906008
ABCA2	9	139906084	139906203
ABCA2	9	139906294	139906472
ABCA2	9	139906552	139906616
ABCA2	9	139906715	139906830
ABCA2	9	139906935	139907044
ABCA2	9	139907162	139907379
ABCA2	9	139907452	139907772
ABCA2	9	139907911	139908017
ABCA2	9	139908282	139908492
ABCA2	9	139908618	139908858
ABCA2	9	139909140	139909264
ABCA2	9	139909363	139909551
ABCA2	9	139909864	139910050
ABCA2	9	139910125	139910325
ABCA2	9	139910412	139910628
ABCA2	9	139910741	139910925
ABCA2	9	139911024	139911192
ABCA2	9	139911370	139911578
ABCA2	9	139911646	139911800
ABCA2	9	139911952	139912146
ABCA2	9	139912237	139912355
ABCA2	9	139912423	139912529
ABCA2	9	139912628	139912805
ABCA2	9	139913169	139913269
ABCA2	9	139913353	139913524
ABCA2	9	139913628	139913760
ABCA2	9	139914786	139914949
ABCA2	9	139915144	139915515
ABCA2	9	139915842	139916064
ABCA2	9	139916341	139916455
ABCA2	9	139916801	139916932
ABCA2	9	139917152	139917319
ABCA2	9	139917391	139917514
ABCA2	9	139918593	139918690
ABCA2	9	139922525	139922594
ABCA2	9	139923167	139923326
ABCA3	16	2326673	2326808
ABCA3	16	2327596	2327673
ABCA3	16	2327878	2328072
ABCA3	16	2328287	2328461
ABCA3	16	2328942	2329133
ABCA3	16	2331026	2331224
ABCA3	16	2331380	2331512
ABCA3	16	2333185	2333361
ABCA3	16	2334278	2334440
ABCA3	16	2334778	2335001
ABCA3	16	2335441	2335649
ABCA3	16	2336693	2336970
ABCA3	16	2338025	2338332
ABCA3	16	2339433	2339623
ABCA3	16	2342139	2342241
ABCA3	16	2345589	2345743
ABCA3	16	2347328	2347542
ABCA3	16	2347765	2347924
ABCA3	16	2348385	2348543
ABCA3	16	2349402	2349535
ABCA3	16	2350004	2350151
ABCA3	16	2353968	2354153
ABCA3	16	2358449	2358626
ABCA3	16	2367282	2367406
ABCA3	16	2367647	2367767
ABCA3	16	2369580	2369843
ABCA3	16	2373522	2373691
ABCA3	16	2374403	2374534
ABCA3	16	2376009	2376277
ABCA3	16	2376412	2376469
ABCA5	17	67243676	67243787
ABCA5	17	67244401	67244460
ABCA5	17	67246044	67246127
ABCA5	17	67246611	67246764
ABCA5	17	67247886	67248009
ABCA5	17	67249712	67249810
ABCA5	17	67249933	67250012
ABCA5	17	67250454	67250633
ABCA5	17	67251682	67251777
ABCA5	17	67251872	67251993
ABCA5	17	67252296	67252426
ABCA5	17	67255845	67255940
ABCA5	17	67256477	67256555
ABCA5	17	67257264	67257402
ABCA5	17	67257774	67257891
ABCA5	17	67260874	67261048
ABCA5	17	67264082	67264199
ABCA5	17	67266752	67266893
ABCA5	17	67267301	67267432
ABCA5	17	67270098	67270271
ABCA5	17	67273780	67273985
ABCA5	17	67280092	67280215
ABCA5	17	67282037	67282180
ABCA5	17	67282360	67282454
ABCA5	17	67283752	67283894
ABCA5	17	67285316	67285439
ABCA5	17	67286001	67286180
ABCA5	17	67287355	67287469
ABCA5	17	67290794	67290856
ABCA5	17	67293330	67293502
ABCA5	17	67297278	67297429
ABCA5	17	67298857	67299049
ABCA5	17	67300808	67300953
ABCA5	17	67302864	67303097
ABCA5	17	67304419	67304511
ABCA5	17	67305401	67305566
ABCA5	17	67309231	67309439
ABCA5	17	67310453	67310558
ABCA7	19	1041359	1041428
ABCA7	19	1041507	1041604
ABCA7	19	1041828	1041973
ABCA7	19	1042061	1042177
ABCA7	19	1042312	1042398
ABCA7	19	1042743	1042827
ABCA7	19	1043038	1043252
ABCA7	19	1043331	1043474
ABCA7	19	1043722	1043842
ABCA7	19	1044574	1044745
ABCA7	19	1044999	1045232
ABCA7	19	1046227	1046407
ABCA7	19	1046799	1047025
ABCA7	19	1047154	1047379
ABCA7	19	1047450	1047655
ABCA7	19	1048892	1049006
ABCA7	19	1049263	1049438
ABCA7	19	1050918	1051053
ABCA7	19	1051152	1051295
ABCA7	19	1051446	1051587
ABCA7	19	1051939	1052127
ABCA7	19	1052211	1052287
ABCA7	19	1053326	1053532
ABCA7	19	1053785	1053837
ABCA7	19	1054003	1054111
ABCA7	19	1054190	1054342
ABCA7	19	1054567	1054695
ABCA7	19	1054777	1054879
ABCA7	19	1055094	1055352
ABCA7	19	1055904	1055940
ABCA7	19	1056063	1056244
ABCA7	19	1056327	1056500
ABCA7	19	1056904	1057085
ABCA7	19	1057311	1057430
ABCA7	19	1057912	1058060
ABCA7	19	1058143	1058270
ABCA7	19	1058615	1058748
ABCA7	19	1058817	1058941
ABCA7	19	1059020	1059086
ABCA7	19	1061779	1061889
ABCA7	19	1062169	1062314
ABCA7	19	1063541	1063679
ABCA7	19	1063757	1063864
ABCA7	19	1064158	1064254
ABCA7	19	1064928	1065172
ABCA7	19	1065267	1065426
ABCB1	7	87133557	87133767
ABCB1	7	87135211	87135361
ABCB1	7	87138589	87138799
ABCB1	7	87144545	87144746
ABCB1	7	87145823	87145983
ABCB1	7	87148640	87148784
ABCB1	7	87150090	87150194
ABCB1	7	87160608	87160815
ABCB1	7	87165772	87165859
ABCB1	7	87168582	87168663
ABCB1	7	87170671	87170782
ABCB1	7	87173443	87173593
ABCB1	7	87174137	87174317
ABCB1	7	87175177	87175342
ABCB1	7	87178662	87178836
ABCB1	7	87179165	87179372
ABCB1	7	87179485	87179614
ABCB1	7	87179782	87179896
ABCB1	7	87180039	87180156
ABCB1	7	87183075	87183250
ABCB1	7	87190577	87190705
ABCB1	7	87195384	87195559
ABCB1	7	87196099	87196294
ABCB1	7	87199486	87199541
ABCB1	7	87214826	87214998
ABCB1	7	87225080	87225132
ABCB1	7	87229431	87229502
ABCB10	1	229653924	229654159
ABCB10	1	229654586	229654624
ABCB10	1	229657337	229657384
ABCB10	1	229661681	229661865
ABCB10	1	229662974	229663057
ABCB10	1	229665944	229666157
ABCB10	1	229667381	229667480
ABCB10	1	229675201	229675340
ABCB10	1	229676351	229676501
ABCB10	1	229677982	229678120
ABCB10	1	229683244	229683450
ABCB10	1	229684979	229685183
ABCB10	1	229693881	229694401
ABCB4	7	87031410	87031620
ABCB4	7	87032449	87032599
ABCB4	7	87035602	87035833
ABCB4	7	87037351	87037552
ABCB4	7	87038550	87038710
ABCB4	7	87041207	87041351
ABCB4	7	87042931	87043035
ABCB4	7	87046626	87046833
ABCB4	7	87047851	87047938
ABCB4	7	87049312	87049393
ABCB4	7	87051435	87051543
ABCB4	7	87053220	87053370
ABCB4	7	87056064	87056238
ABCB4	7	87060718	87060883
ABCB4	7	87068981	87069155
ABCB4	7	87069513	87069720
ABCB4	7	87072633	87072762
ABCB4	7	87072977	87073091
ABCB4	7	87074176	87074293
ABCB4	7	87076348	87076523
ABCB4	7	87079282	87079410
ABCB4	7	87080937	87081112
ABCB4	7	87082258	87082453
ABCB4	7	87083849	87083910
ABCB4	7	87092072	87092226
ABCB4	7	87101935	87101993
ABCB4	7	87104700	87104783
ABCB6	2	220074658	220074770
ABCB6	2	220074950	220075022
ABCB6	2	220075101	220075199
ABCB6	2	220075431	220075547
ABCB6	2	220075654	220075832
ABCB6	2	220077107	220077215
ABCB6	2	220077728	220077789
ABCB6	2	220077961	220078050
ABCB6	2	220078159	220078226
ABCB6	2	220078310	220078390
ABCB6	2	220078546	220078675
ABCB6	2	220078841	220078910
ABCB6	2	220079109	220079222
ABCB6	2	220079681	220079806
ABCB6	2	220080717	220080904
ABCB6	2	220081084	220081189
ABCB6	2	220081372	220081556
ABCB6	2	220082390	220082531
ABCB6	2	220082845	220083397
ABCB7	23	74273203	74273422
ABCB7	23	74280056	74280167
ABCB7	23	74282161	74282268
ABCB7	23	74284903	74285078
ABCB7	23	74288840	74288973
ABCB7	23	74289124	74289291
ABCB7	23	74290198	74290359
ABCB7	23	74291342	74291520
ABCB7	23	74293522	74293613
ABCB7	23	74293701	74293793
ABCB7	23	74295195	74295467
ABCB7	23	74296355	74296491
ABCB7	23	74318775	74318898
ABCB7	23	74332719	74332809
ABCB7	23	74334587	74334671
ABCB7	23	74375938	74376109
ABCB8	7	150725601	150725699
ABCB8	7	150730690	150731006
ABCB8	7	150731358	150731517
ABCB8	7	150731590	150731688
ABCB8	7	150731809	150731918
ABCB8	7	150732666	150732831
ABCB8	7	150732967	150733056
ABCB8	7	150733158	150733259
ABCB8	7	150733629	150733738
ABCB8	7	150737353	150737390
ABCB8	7	150737583	150737723
ABCB8	7	150737913	150738011
ABCB8	7	150738184	150738321
ABCB8	7	150739046	150739197
ABCB8	7	150741056	150741310
ABCB8	7	150742294	150742438
ABCB9	12	123414456	123414720
ABCB9	12	123416737	123416877
ABCB9	12	123419817	123419980
ABCB9	12	123424656	123424833
ABCB9	12	123425352	123425544
ABCB9	12	123428936	123429068
ABCB9	12	123430570	123430771
ABCB9	12	123433169	123433378
ABCB9	12	123434333	123434467
ABCB9	12	123434996	123435114
ABCB9	12	123444180	123444784
ABCC1	16	16043607	16043658
ABCC1	16	16101671	16101851
ABCC1	16	16103631	16103760
ABCC1	16	16108346	16108487
ABCC1	16	16110351	16110480
ABCC1	16	16126964	16127029
ABCC1	16	16130327	16130462
ABCC1	16	16138305	16138539
ABCC1	16	16139691	16139872
ABCC1	16	16141997	16142162
ABCC1	16	16146579	16146675
ABCC1	16	16149947	16150154
ABCC1	16	16162011	16162161
ABCC1	16	16165497	16165588
ABCC1	16	16170181	16170260
ABCC1	16	16173207	16173337
ABCC1	16	16177221	16177401
ABCC1	16	16180679	16180850
ABCC1	16	16184260	16184447
ABCC1	16	16196482	16196576
ABCC1	16	16200593	16200732
ABCC1	16	16205230	16205441
ABCC1	16	16208621	16208935
ABCC1	16	16215830	16216033
ABCC1	16	16218644	16218774
ABCC1	16	16219665	16219770
ABCC1	16	16225644	16225794
ABCC1	16	16228205	16228367
ABCC1	16	16230333	16230503
ABCC1	16	16232219	16232417
ABCC1	16	16235028	16235140
ABCC10	6	43399846	43401100
ABCC10	6	43402357	43402588
ABCC10	6	43403487	43403647
ABCC10	6	43403829	43403987
ABCC10	6	43405670	43405753
ABCC10	6	43406360	43406535
ABCC10	6	43409598	43409700
ABCC10	6	43410706	43410899
ABCC10	6	43411669	43411750
ABCC10	6	43411895	43412093
ABCC10	6	43412524	43412678
ABCC10	6	43412861	43413054
ABCC10	6	43413335	43413682
ABCC10	6	43414013	43414186
ABCC10	6	43414984	43415148
ABCC10	6	43415420	43415677
ABCC10	6	43416617	43416766
ABCC10	6	43416843	43416944
ABCC10	6	43417158	43417274
ABCC10	6	43417665	43417831
ABCC2	10	101542600	101542636
ABCC2	10	101544363	101544540
ABCC2	10	101551989	101552118
ABCC2	10	101553306	101553444
ABCC2	10	101553647	101553758
ABCC2	10	101554168	101554227
ABCC2	10	101556852	101557090
ABCC2	10	101558962	101559129
ABCC2	10	101560141	101560322
ABCC2	10	101563774	101564032
ABCC2	10	101565137	101565206
ABCC2	10	101567139	101567280
ABCC2	10	101567838	101567988
ABCC2	10	101569889	101569977
ABCC2	10	101571291	101571361
ABCC2	10	101572773	101572903
ABCC2	10	101577063	101577243
ABCC2	10	101578545	101578716
ABCC2	10	101578844	101579028
ABCC2	10	101590062	101590192
ABCC2	10	101590471	101590610
ABCC2	10	101591366	101591589
ABCC2	10	101591732	101591890
ABCC2	10	101594135	101594294
ABCC2	10	101595846	101596049
ABCC2	10	101601722	101601852
ABCC2	10	101603554	101603659
ABCC2	10	101604077	101604224
ABCC2	10	101605379	101605541
ABCC2	10	101606716	101606886
ABCC2	10	101610357	101610555
ABCC2	10	101611257	101611390
ABCC4	13	95673827	95673938
ABCC4	13	95686857	95686995
ABCC4	13	95695934	95696043
ABCC4	13	95696518	95696694
ABCC4	13	95705347	95705440
ABCC4	13	95714956	95715115
ABCC4	13	95723914	95724109
ABCC4	13	95725456	95725560
ABCC4	13	95726466	95726580
ABCC4	13	95727684	95727807
ABCC4	13	95735392	95735546
ABCC4	13	95748387	95748435
ABCC4	13	95768174	95768257
ABCC4	13	95813441	95813591
ABCC4	13	95815374	95815472
ABCC4	13	95815862	95815903
ABCC4	13	95816630	95816774
ABCC4	13	95818410	95818623
ABCC4	13	95822784	95822884
ABCC4	13	95829959	95830049
ABCC4	13	95830249	95830347
ABCC4	13	95838953	95839148
ABCC4	13	95840705	95840798
ABCC4	13	95847088	95847193
ABCC4	13	95858784	95859037
ABCC4	13	95860052	95860181
ABCC4	13	95861686	95861853
ABCC4	13	95862944	95863037
ABCC4	13	95886862	95887090
ABCC4	13	95899227	95899351
ABCC4	13	95899895	95900009
ABCC4	13	95953493	95953570
ABCC5	3	183639086	183639191
ABCC5	3	183643341	183643509
ABCC5	3	183645116	183645233
ABCC5	3	183646533	183646615
ABCC5	3	183655687	183655850
ABCC5	3	183660513	183660706
ABCC5	3	183663636	183663729
ABCC5	3	183665110	183665300
ABCC5	3	183667539	183667671
ABCC5	3	183667758	183667915
ABCC5	3	183669227	183669360
ABCC5	3	183669643	183669793
ABCC5	3	183670872	183671060
ABCC5	3	183677519	183677625
ABCC5	3	183679297	183679444
ABCC5	3	183681171	183681378
ABCC5	3	183682971	183683047
ABCC5	3	183683163	183683291
ABCC5	3	183685481	183685556
ABCC5	3	183689349	183689709
ABCC5	3	183695303	183695414
ABCC5	3	183696289	183696441
ABCC5	3	183699513	183699664
ABCC5	3	183700237	183700414
